faction_id	tier_index	slot_index	entry_kind	cash_cost	is_todo_placeholder	display_name	description
1	1	0	GlobalModifier	4	1	TODO Relief Doctrine	TODO global-modifier technology placeholder for Village Committee tier I.
1	1	1	MechanismChange	6	1	TODO Queue Standard	TODO mechanism-change technology placeholder for Village Committee tier I.
1	2	0	GlobalModifier	8	1	TODO Kitchen Tempo	TODO global-modifier technology placeholder for Village Committee tier II.
1	2	1	MechanismChange	10	1	TODO Dispatch Rule	TODO mechanism-change technology placeholder for Village Committee tier II.
1	3	0	GlobalModifier	12	1	TODO Relief Network	TODO global-modifier technology placeholder for Village Committee tier III.
1	3	1	MechanismChange	14	1	TODO Convoy Logic	TODO mechanism-change technology placeholder for Village Committee tier III.
2	1	0	GlobalModifier	4	1	TODO Seed Vigor	TODO global-modifier technology placeholder for Forestry Bureau tier I.
2	1	1	MechanismChange	6	1	TODO Nursery Rule	TODO mechanism-change technology placeholder for Forestry Bureau tier I.
2	2	0	GlobalModifier	8	1	TODO Shelter Growth	TODO global-modifier technology placeholder for Forestry Bureau tier II.
2	2	1	MechanismChange	10	1	TODO Root Cycle	TODO mechanism-change technology placeholder for Forestry Bureau tier II.
2	3	0	GlobalModifier	12	1	TODO Habitat Buffer	TODO global-modifier technology placeholder for Forestry Bureau tier III.
2	3	1	MechanismChange	14	1	TODO Recovery Rule	TODO mechanism-change technology placeholder for Forestry Bureau tier III.
3	1	0	GlobalModifier	4	1	TODO Survey Bias	TODO global-modifier technology placeholder for Agricultural University tier I.
3	1	1	MechanismChange	6	1	TODO Trial Method	TODO mechanism-change technology placeholder for Agricultural University tier I.
3	2	0	GlobalModifier	8	1	TODO Field Precision	TODO global-modifier technology placeholder for Agricultural University tier II.
3	2	1	MechanismChange	10	1	TODO Relay Policy	TODO mechanism-change technology placeholder for Agricultural University tier II.
3	3	0	GlobalModifier	12	1	TODO Control Envelope	TODO global-modifier technology placeholder for Agricultural University tier III.
3	3	1	MechanismChange	14	1	TODO Systems Method	TODO mechanism-change technology placeholder for Agricultural University tier III.
